DataZone,DZName,LAName,SAPE2017,WAPE2017,Rankv2,Quintilev2,Decilev2,Vigintilv2,Percentv2,IncRate,IncNumDep,IncRankv2,EmpRate,EmpNumDep,EmpRank,HlthCIF,HlthAlcSR,HlthDrugSR,HlthSMR,HlthDprsPc,HlthLBWTPc,HlthEmergS,HlthRank,EduAttend,EduAttain,EduNoQuals,EduPartici,EduUniver,EduRank,GAccPetrol,GAccDTGP,GAccDTPost,GAccDTPsch,GAccDTSsch,GAccDTRet,GAccPTGP,GAccPTPost,GAccPTRet,GAccBrdbnd,GAccRank,CrimeCount,CrimeRate,CrimeRank,HouseNumOC,HouseNumNC,HouseOCrat,HouseNCrat,HouseRank,Shape_Leng,Shape_Area
S01006745,Bucksburn North - 03,Aberdeen City,847,533,2530,2,4,8,37,15%,129,2204.00000000000,8%,42,3413.00000000000,100,165,138,137,25%,6%,110,2216,76%,5.09000000000,121,6%,4%,1700,1.06000000000,1.63000000000,1.89000000000,3.31000000000,2.27000000000,4.93000000000,6.12000000000,6.44000000000,8.56000000000,0%,6222,38,454,1214.00000000000,103,6,13%,1%,2677.00000000000,3570.58521793000,447181.00144500000
S01006746,Bucksburn North - 04,Aberdeen City,832,506,2827,3,5,9,41,14%,120,2356.00000000000,10%,49,2817.00000000000,115,52,55,127,22%,8%,103,2662,79%,5.54000000000,94,4%,12%,3293,1.94000000000,1.90000000000,1.04000000000,3.88000000000,3.32000000000,6.07000000000,7.56000000000,4.30000000000,12.90000000000,0%,5437,28,341,1892.00000000000,136,4,17%,0%,1602.00000000000,2249.20791010000,157601.12740500000
S01006747,Bucksburn North - 05,Aberdeen City,1029,605,5621,5,9,17,81,5%,47,5199.00000000000,4%,23,5258.00000000000,45,20,34,76,17%,0%,75,5561,91%,5.70000000000,61,6%,8%,4671,1.64000000000,2.71000000000,2.02000000000,4.73000000000,3.69000000000,5.92000000000,10.51000000000,7.94000000000,11.44000000000,2%,3112,11,108,4961.00000000000,20,7,2%,1%,6401.00000000000,5211.81371426000,798410.16427700000
S01006748,Bucksburn North - 06,Aberdeen City,1193,739,5964,5,9,18,86,3%,35,5996.00000000000,3%,20,6015.00000000000,35,48,23,48,13%,0%,61,6421,91%,5.39000000000,46,1%,9%,5227,2.18000000000,3.38000000000,3.26000000000,3.40000000000,4.17000000000,5.12000000000,12.76000000000,9.57000000000,11.24000000000,23%,1987,20,170,3864.00000000000,76,4,8%,0%,4175.00000000000,13864.75645020000,4433091.24223000000
S01006749,Dyce - 01,Aberdeen City,883,538,3702,3,6,11,54,10%,84,3516.00000000000,9%,47,3070.00000000000,85,151,133,113,22%,2%,115,2757,85%,5.61000000000,102,1%,3%,3198,2.15000000000,1.40000000000,2.52000000000,2.76000000000,2.61000000000,3.38000000000,5.39000000000,8.85000000000,6.42000000000,0%,6209,12,138,4408.00000000000,52,15,6%,2%,4774.00000000000,1906.66959374000,127333.25313000000
S01006750,Dyce - 02,Aberdeen City,672,379,3603,3,6,11,52,10%,64,3513.50000000000,7%,28,3595.00000000000,85,67,118,179,23%,10%,104,2765,91%,5.33000000000,112,3%,5%,3512,2.98000000000,2.43000000000,2.46000000000,3.30000000000,3.64000000000,4.21000000000,8.07000000000,6.80000000000,8.22000000000,0%,4064,20,301,2223.00000000000,49,15,8%,2%,3707.50000000000,4648.16777672000,375796.98804600000
S01006751,Dyce - 03,Aberdeen City,476,287,3992,3,6,12,58,10%,49,3330.50000000000,6%,18,3987.50000000000,105,77,33,124,22%,8%,95,2895,90%,5.56000000000,102,0%,5%,4252,3.29000000000,2.79000000000,1.42000000000,2.96000000000,4.00000000000,4.67000000000,10.06000000000,4.53000000000,10.45000000000,15%,3696,4,85,5407.00000000000,54,3,11%,1%,3308.00000000000,2329.92442145000,100812.68150500000
S01006752,Dyce - 04,Aberdeen City,709,411,3911,3,6,12,57,9%,64,3642.00000000000,8%,31,3451.00000000000,85,53,0,82,21%,10%,90,3806,87%,5.05000000000,118,5%,7%,2842,2.94000000000,2.26000000000,2.07000000000,2.51000000000,3.40000000000,4.16000000000,8.88000000000,7.97000000000,9.16000000000,0%,4676,8,114,4861.00000000000,59,10,8%,1%,3811.00000000000,1998.93812652000,109826.52488800000
S01006753,Dyce - 05,Aberdeen City,868,511,5837,5,9,17,84,4%,34,5492.00000000000,4%,19,5249.00000000000,50,61,54,85,17%,7%,81,4915,90%,5.57000000000,60,1%,14%,5189,2.66000000000,2.86000000000,1.08000000000,2.95000000000,4.18000000000,4.76000000000,10.54000000000,4.60000000000,11.19000000000,17%,3901,8,93,5250.00000000000,40,3,4%,0%,5910.00000000000,3583.65499819000,270028.27809900000
S01006754,Dyce - 06,Aberdeen City,841,465,5767,5,9,17,83,3%,24,6030.00000000000,3%,15,5626.00000000000,40,27,20,65,16%,0%,68,5949,92%,5.27000000000,54,0%,5%,4872,1.95000000000,2.84000000000,3.00000000000,3.96000000000,3.85000000000,4.56000000000,13.65000000000,11.19000000000,12.64000000000,29%,2101,16,193,3513.00000000000,30,7,3%,1%,6104.00000000000,5023.22170923000,364829.12976200000
S01006755,Dyce - 07,Aberdeen City,812,546,4563,4,7,14,66,6%,48,4643.00000000000,3%,15,5991.00000000000,40,19,0,78,14%,8%,90,5838,83%,5.19000000000,41,3%,14%,4487,4.04000000000,4.46000000000,2.92000000000,4.08000000000,5.11000000000,5.99000000000,19.99000000000,13.67000000000,18.04000000000,32%,801,38,474,1118.00000000000,59,11,8%,2%,3866.00000000000,32310.58606040000,19705316.23250000000
S01006756,Danestone - 01,Aberdeen City,774,526,5974,5,9,18,86,3%,21,6115.00000000000,1%,4,6931.00000000000,50,28,14,218,14%,4%,68,5326,83%,6.00000000000,30,0%,18%,6024,4.18000000000,2.95000000000,3.44000000000,3.48000000000,5.53000000000,4.28000000000,13.88000000000,12.60000000000,10.88000000000,3%,1586,19,249,2775.00000000000,64,0,10%,0%,3794.00000000000,3010.31222396000,315317.47369500000
