Year of occurrence,Month of occurrence,Sex,Council area,Number of deaths
2020,May,Males,East Dunbartonshire,62
2020,May,Males,East Lothian,44
2020,May,Males,East Renfrewshire,42
2020,May,Males,Falkirk,101
2020,May,Males,Fife,182
2020,May,Males,Glasgow City,330
2020,May,Males,Highland,136
2020,May,Males,Inverclyde,54
2020,May,Males,Midlothian,45
2020,May,Males,Moray,52
2020,May,Males,Na h-Eileanan Siar,12
2020,May,Males,North Ayrshire,81
2020,May,Males,North Lanarkshire,181
2020,May,Males,Orkney Islands,10
2020,May,Males,Perth and Kinross,85
2020,May,Males,Renfrewshire,143
2020,May,Males,Scottish Borders,53
2020,May,Males,Shetland Islands,12
2020,May,Males,South Ayrshire,54
2020,May,Males,South Lanarkshire,199
2020,May,Males,Stirling,41
2020,May,Males,West Dunbartonshire,46
2020,May,Males,West Lothian,85
2020,June,Females,Scotland,2227
2020,June,Females,Aberdeen City,82
2020,June,Females,Aberdeenshire,84
2020,June,Females,Angus,61
2020,June,Females,Argyll and Bute,41
2020,June,Females,City of Edinburgh,150
2020,June,Females,Clackmannanshire,21
2020,June,Females,Dumfries and Galloway,83
2020,June,Females,Dundee City,65
2020,June,Females,East Ayrshire,44
2020,June,Females,East Dunbartonshire,47
2020,June,Females,East Lothian,41
2020,June,Females,East Renfrewshire,35
2020,June,Females,Falkirk,72
2020,June,Females,Fife,141
2020,June,Females,Glasgow City,253
2020,June,Females,Highland,103
2020,June,Females,Inverclyde,51
2020,June,Females,Midlothian,37
2020,June,Females,Moray,43
2020,June,Females,Na h-Eileanan Siar,14
2020,June,Females,North Ayrshire,60
2020,June,Females,North Lanarkshire,134
2020,June,Females,Orkney Islands,9
2020,June,Females,Perth and Kinross,58
2020,June,Females,Renfrewshire,72
2020,June,Females,Scottish Borders,59
2020,June,Females,Shetland Islands,7
2020,June,Females,South Ayrshire,50
2020,June,Females,South Lanarkshire,157
2020,June,Females,Stirling,37
2020,June,Females,West Dunbartonshire,47
2020,June,Females,West Lothian,69
2020,June,Males,Scotland,2216
2020,June,Males,Aberdeen City,77
2020,June,Males,Aberdeenshire,85
2020,June,Males,Angus,52
2020,June,Males,Argyll and Bute,35
2020,June,Males,City of Edinburgh,156
2020,June,Males,Clackmannanshire,23
2020,June,Males,Dumfries and Galloway,69
2020,June,Males,Dundee City,68
2020,June,Males,East Ayrshire,72
2020,June,Males,East Dunbartonshire,47
2020,June,Males,East Lothian,36
2020,June,Males,East Renfrewshire,42
2020,June,Males,Falkirk,71
2020,June,Males,Fife,145
2020,June,Males,Glasgow City,241
2020,June,Males,Highland,97
2020,June,Males,Inverclyde,40
2020,June,Males,Midlothian,36
2020,June,Males,Moray,47
2020,June,Males,Na h-Eileanan Siar,17
2020,June,Males,North Ayrshire,65
2020,June,Males,North Lanarkshire,129
2020,June,Males,Orkney Islands,9
